Country,health_count,total_sentences,total_words,health_percent,population,sids,income,democracy,health_expenditure,coal_rents,temperature_change,air_pollution,HES,HES_1,HES_2,HES_3,HES_4,health_topic,economy_topic,energy_topic,agri_topic,Other_1,Other_2,eu
AFG,3,122,3964,0.07568113017154389,17.381746292114258,0,6.304865837097168,3.0833332538604736,10.96198335,0.233553226,0.854638789,53.20000076293945,2,1,1,0,0,0.1930215952327706,0.17949596051429012,0.18878652625348769,0.20693981851005036,0.11944553152562903,0.11231056796377228,Non-EU
ALB,0,32,1246,0,14.871946334838867,0,8.324604988098145,8.083333015441895,5.9,3.86843e-4,0.803764998,17.899999618530273,0,0,0,0,0,0.03529097904611755,0.1487066234300226,0.5533109635122362,0.0262902610179982,0.15943255238274617,0.07696862061087928,Non-EU
AND,2,77,2766,0.07230657989877079,11.255410194396973,0,10.524711608886719,10,10.32410711,0,0,9.899999618530273,1,1,0,0,0,0.04872719995752375,0.0828523447682836,0.4154581532543798,0.03996865652775899,0.17279879391271144,0.2401948515793424,Non-EU
ARE,1,75,2437,0.04103405826836274,16.052061080932617,0,10.549067497253418,1.3333332538604736,3.403416276,0,0.927765339,39.400001525878906,1,1,0,0,0,0.2097610241718348,0.16298622248103947,0.3364766635760838,0.11661652429719972,0.08363911066830379,0.09052045480553852,Non-EU
ARG,6,130,4878,0.12300123001230012,17.590347290039062,0,9.456438064575195,8.916666030883789,7.544399053,7.42932e-5,1.304635795,11.800000190734863,2,1,1,0,0,0.09862810961548106,0.12077842025409402,0.18044914470879247,0.07807901248699733,0.27373609265814713,0.24832922027648804,Non-EU
ARM,1,74,1841,0.05431830526887561,14.892608642578125,0,8.1864166259765625,5.8333330154418945,9.951966256,0,0.674303419,30.5,1,1,0,0,0,0.1147195267776195,0.10616775404029816,0.287670035762055,0.122902084120063,0.19803309969161476,0.17050749960834952,Non-EU
ATG,9,176,4599,0.19569471624266144,11.45664119720459,1,9.628893852233887,8.595741271972656,4.357296228,0,0.419444802,17.899999618530273,4,1,1,1,1,0.1776308258893995,0.22118820609977485,0.29911115674044825,0.0537766659307077,0.11756667781229942,0.13072646752737033,Non-EU
AUS,0,37,1105,0,17.001487731933594,0,10.81920051574707,10,9.196083993,0.593846375,0.585753951,7.199999809265137,0,0,0,0,0,0.0554077655195138,0.10315646535630862,0.6083061009250901,0.03236790606520693,0.11945372759650492,0.08130803453737563,Non-EU
AUT,0,33,1133,0,15.983039855957031,0,10.719688415527344,10,10.41916981,0,0.725125271,12.399999618530273,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
AZE,0,30,1286,0,16.093578338623047,0,8.26378059387207,1.1666666269302368,6.663134694,0,1.087878683,18.200000762939453,0,0,0,0,0,0.1082357968238282,0.15405379231339905,0.29848297081683134,0.12448186992523784,0.16990804768734727,0.14483752243335626,Non-EU
BDI,4,77,4408,0.09074410163339383,16.165742874145508,0,5.64259147644043,2.6666667461395264,7.492160797,0,1.48507068,35.599998474121094,2,1,1,0,0,0.16644265906377892,0.1254920614565858,0.10959184001245492,0.28457988570302223,0.21601680580136148,0.09787674796279672,Non-EU
BEL,0,33,1133,0,16.24308967590332,0,10.645712852478027,9.5,10.30445471,0,0.637470849,12.899999618530273,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
BEN,10,323,19220,0.052029136316337155,16.20170783996582,0,6.670874118804932,8.416666030883789,3.855612502,0,0.621869888,33.099998474121094,3,1,1,1,0,0.08981196853811789,0.10888334222350209,0.09662684992326565,0.360409351261289,0.26090524826617634,0.08336323978764903,Non-EU
BFA,33,494,21776,0.15154298310066128,16.74116325378418,0,6.3678364753723145,6.9166669845581055,7.013124228,0,0.134910443,36.79999923706055,5,1,1,1,1,0.11732506517839984,0.1056530275205671,0.08374385614493572,0.3488926824391269,0.25120673399519233,0.09317863472177802,Non-EU
BGD,6,194,6273,0.09564801530368246,18.877920150756836,0,7.245384216308594,5.25,2.311779931,0.01571275,0.902084869,58.29999923706055,2,1,1,0,0,0.2517119917248969,0.16817988911488535,0.24720317189353605,0.10243218972892738,0.15000713997811668,0.08046561755963762,Non-EU
BGR,0,33,1133,0,15.779516220092773,0,8.918577194213867,8.916666030883789,8.230107278,0.111417199,0.902169342,18.799999237060547,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
BHR,2,59,1822,0.10976948408342481,14.17023754119873,0,10.02655029296875,0.4166666567325592,4.858230427,0,1.153798461,69,1,1,0,0,0,0.195345689784624,0.1768395527277042,0.27872191019950554,0.1085070410704177,0.08645085845192094,0.1541349477658276,Non-EU
BHS,9,107,3969,0.22675736961451248,12.842467308044434,1,10.360559463500977,10,6.071411818,0,0.456728672,17.600000381469727,3,1,1,1,0,0.1776456510107135,0.23860407317640975,0.23385173443569365,0.08253450489026633,0.11049176641885251,0.15687227006806434,Non-EU
BIH,0,53,1953,0,15.035238265991211,0,8.516129493713379,5.324978351593018,9.227862209,0.243025607,0.352039213,27.299999237060547,0,0,0,0,0,0.06927347376554144,0.12559448190482053,0.3399486648080958,0.0877796591477719,0.2639408133311371,0.11346290704263322,Non-EU
BLR,2,64,2816,0.07102272727272728,16.06696319580078,0,8.521708488464355,1.1666666269302368,5.91054149,0,1.266461044,18.100000381469727,1,1,0,0,0,0.08681426194887946,0.19571297619838207,0.3617431015313362,0.06445322377669906,0.18976994381530635,0.10150649272939698,Non-EU
BLZ,20,239,7266,0.27525461051472616,12.816925048828125,1,8.48019790649414,9.413433074951172,6.09697625,0,0.962649923,21.200000762939453,4,1,1,1,1,0.2517517019973707,0.19893835615921143,0.16610972932958387,0.16551242059122,0.10698253991155084,0.1107052520110632,Non-EU
BOL,5,245,7371,0.0678334011667345,16.216293334960938,0,8.031599998474121,7.5833330154418945,6.852848828,0,1.333282592,20.200000762939453,1,1,0,0,0,0.07314606209431344,0.17304339402931573,0.1402962283639665,0.33816187767642375,0.09449116153842416,0.1808612762975564,Non-EU
